data_area_type,data_area_type_FR,data_area,data_area_FR,entity,entity_FR,attribute,attribute_FR,attribute_data_type,attribute_data_type_FR,attribute_description,attribute_description_FR,NEED
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Accessibility Barrier *,Barrière d'accessibilité *,Accessibility Barrier Group *,Groupe d'obstacles à l'accessibilité *,Code,Code,*Denotes the barrier group or family of barrier.,*Désigne le groupe ou la famille de barrières.,y
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Accessibility Barrier *,Barrière d'accessibilité *,Accessibility Barrier Sub Group *,Sous-groupe sur les obstacles à l'accessibilité *,Code,Code,*Denotes the barrie sub group or what the barrier relates to.,*Indique le sous-groupe de Barrie ou ce à quoi la barrière se rapporte.,
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Accessibility Barrier *,Barrière d'accessibilité *,Accessibility Barrier *,Barrière d'accessibilité *,Code,Code,*Denotes the actual barrier to workplace accessibility for the employee.,*Indique l'obstacle réel à l'accessibilité du lieu de travail pour l'employé.,
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Accessibility Solution *,Solution d'accessibilité *,Accessibility Solution Group *,Groupe de solutions d'accessibilité *,Code,Code,*Denotes a grouping of the workplace accessibility solution.,*Denotes a grouping of the workplace accessibility solution.,y
Core Workforce Data,Données de base sur les effectifs,Person,Personne,Accessibility Solution *,Solution d'accessibilité *,Accessibility Solution *,Solution d'accessibilité *,Code,Code,*Denotes the workplace accessibility solution to an indentified barrier in the workplace accessibility passport.,*Denotes the workplace accessibility solution to an indentified barrier in the workplace accessibility passport.,y
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Address Line,Ligne d'adresse,Text,Texte,"The text associated with lines 1, 2, 3 and 4 of the address.","Texte des lignes 1,2, 3 et 4 de l'adresse.",
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,City,Ville,Text,Texte,The city associated with the address.,Ville associée à l'adresse.,
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Province,Province,Code,Code,The province associated with the address.,La province associée à l'adresse.,
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Country,Pays,Code,Code,The country associated with the address.,Pays associé à l'adresse.,
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Postal Code,Code postal,Text,Texte,The postal code associated with the address.,Code postal associé à l'adresse.,y
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Address Type,Type d'adresse,Code,Code,The type of address that is being stored.,Type d'adresse enregistrée.,y
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Primary Address Indicator,Indicateur de l'adresse principale,Indicator,Indicateur,Indicator specifying whether the address is the primary address to be used when contacting the person.,Indique quelle adresse est l'adresse principale qu'on doit utiliser lorsqu'on envoie de la correspondance à l'employé.,y
Core Support Data,Données de soutien de base,External Data,Données externes,Address,Adresse,Address Effective Date,Date d'entrée en vigueur de l'adresse,Date,Date,The effective date of the address.,La date d'entrée en vigueur de l'adresse.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Advertising Campaign,Campagne publicitaire,Ad-Posting Content,Contenu de l'annonce,Text,Texte,The ads and/or the postings that are used to advertize a position or a pool to be filled. The advertisement should provide sufficient information regarding the criteria to be used in the screening of persons in the area of selection; and any other information necessary for persons in the area of selection to apply.,Annonce servant à annoncer un poste ou la dotation d'un bassin. L'avis doit compter assez de renseignements sur les critères de sélection des candidats dans la zone de sélection et tous les renseignements dont ont besoin les candidats de la zone de sélection pour poser leur candidature.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Advertising Campaign,Campagne publicitaire,Campaign Logistic,Logistique de la campagne,Text,Texte,The content of the campaign logistics.,Contenu de la logistique de la campagne.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Advertising Campaign,Campagne publicitaire,Posting Date,Date d'affichage,Date,Date,The date the ad-posting is posted.,Date d'affichage de l'annonce.,
